ZIP Code [ZIP_CODE],County [COUNTY_AGENCY],Office mailing address [COUNTY_MAIL_ADDRESS],Office Physical Address (if different) [COUNTY_PHYSICAL_ADDRESS],Office phone number [COUNTY_PHONE],Office fax number [COUNTY_FAX],Office email address [COUNTY_EMAIL_ADDRESS],Office Website [Link instead of spelling out URL] [COUNTY_WEBSITE],"Upload portal or email [Link URLs, write out emails] [COUNTY_UPLOAD_EMAIL]",Checked against current website,Is Supported?,Last Names A-Smh [LN_A-Smh],Last Names Smi-Z [LN_Smi-Z],Special Geo,Subgeography [SUBGEOGRAPHY]
19703,Claymont State Service Center,"3301 Green Street
Claymont, DE 19703",,(302) 798-4093,,,,DHSS_DSS_Claymont_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19710,Claymont State Service Center,"3301 Green Street
Claymont, DE 19703",,(302) 798-4093,,,,DHSS_DSS_Claymont_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19732,Claymont State Service Center,"3301 Green Street
Claymont, DE 19703",,(302) 798-4093,,,,DHSS_DSS_Claymont_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19735,Claymont State Service Center,"3301 Green Street
Claymont, DE 19703",,(302) 798-4093,,,,DHSS_DSS_Claymont_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19803,Claymont State Service Center,"3301 Green Street
Claymont, DE 19703",,(302) 798-4093,,,,DHSS_DSS_Claymont_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19809,Claymont State Service Center,"3301 Green Street
Claymont, DE 19703",,(302) 798-4093,,,,DHSS_DSS_Claymont_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19810,Claymont State Service Center,"3301 Green Street
Claymont, DE 19703",,(302) 798-4093,,,,DHSS_DSS_Claymont_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19720,DeLaWarr State Service Center,"500 Rogers Road
New Castle, DE 19720",,(302) 622-4500,,,,DHSS_DSS_DELAWARR_Maintenance@delaware.gov,TRUE,Y,FALSE,FALSE,TRUE,north of I-295
19801,DeLaWarr State Service Center,"500 Rogers Road
New Castle, DE 19720",,(302) 622-4500,,,,DHSS_DSS_DELAWARR_Maintenance@delaware.gov,TRUE,Y,FALSE,FALSE,TRUE,south of the Christiana River
19708,Robscott Building,"153 East Chestnut Hill Road
Newark, DE 19713",,(302) 451-3680,,,,DHSS_DSS_Robscott_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19712,Robscott Building,"153 East Chestnut Hill Road
Newark, DE 19713",,(302) 451-3680,,,,DHSS_DSS_Robscott_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19713,Robscott Building,"153 East Chestnut Hill Road
Newark, DE 19713",,(302) 451-3680,,,,DHSS_DSS_Robscott_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19715,Robscott Building,"153 East Chestnut Hill Road
Newark, DE 19713",,(302) 451-3680,,,,DHSS_DSS_Robscott_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19808,Robscott Building,"153 East Chestnut Hill Road
Newark, DE 19713",,(302) 451-3680,,,,DHSS_DSS_Robscott_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19801,Northeast State Service Center,"1624 Jessup Street
Wilmington, DE 19802",,(302) 552-3503,,,,DHSS_DSS_NESSC_Maintenance@delaware.gov,TRUE,Y,FALSE,FALSE,TRUE,north of the Christiana River and east of Market St
19802,Northeast State Service Center,"1624 Jessup Street
Wilmington, DE 19802",,(302) 552-3503,,,,DHSS_DSS_NESSC_Maintenance@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19801,Winder Laird Porter State Service Center,"509 W. 8th Street
Wilmington, DE 19801",,(302) 777-2830,,,,DHSS_DSS_MaintenanceMailbox_Area2@delaware.gov,TRUE,Y,FALSE,FALSE,TRUE,north of the Christiana River and west of Market Street
19899,Winder Laird Porter State Service Center,"509 W. 8th Street
Wilmington, DE 19801",,(302) 777-2830,,,,DHSS_DSS_MaintenanceMailbox_Area2@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19701,Floyd I. Hudson State Service Center,"501 Ogletown Road
Newark, DE 19711",,(302) 283-7500,,,,DHSS_DSS_HudsonSSC_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19702,Floyd I. Hudson State Service Center,"501 Ogletown Road
Newark, DE 19711",,(302) 283-7500,,,,DHSS_DSS_HudsonSSC_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19707,Floyd I. Hudson State Service Center,"501 Ogletown Road
Newark, DE 19711",,(302) 283-7500,,,,DHSS_DSS_HudsonSSC_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19711,Floyd I. Hudson State Service Center,"501 Ogletown Road
Newark, DE 19711",,(302) 283-7500,,,,DHSS_DSS_HudsonSSC_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19714,Floyd I. Hudson State Service Center,"501 Ogletown Road
Newark, DE 19711",,(302) 283-7500,,,,DHSS_DSS_HudsonSSC_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19716,Floyd I. Hudson State Service Center,"501 Ogletown Road
Newark, DE 19711",,(302) 283-7500,,,,DHSS_DSS_HudsonSSC_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
19717,Floyd I. Hudson State Service Center,"501 Ogletown Road
Newark, DE 19711",,(302) 283-7500,,,,DHSS_DSS_HudsonSSC_FAQ@delaware.gov,TRUE,Y,FALSE,FALSE,FALSE,
