FIPS Code,County [COUNTY_AGENCY],Office mailing address [COUNTY_MAIL_ADDRESS],Office Physical Address (if different) [COUNTY_PHYSICAL_ADDRESS],Office phone number [COUNTY_PHONE],Office fax number [COUNTY_FAX],Office email address [COUNTY_EMAIL_ADDRESS],Office Website [Link instead of spelling out URL] [COUNTY_WEBSITE],"Upload portal or email [Link URLs, write out emails] [COUNTY_UPLOAD_EMAIL]",Checked against current website,Is Supported?
37001 ,Alamance County,"Alamance County Department of Social Services
Food and Nutrition Services
319 North Graham Hopedale Road, Suite C
Burlington, NC 27217",,336-570-6532,336-570-6538,,https://dss.alamancecountync.gov/,https://form.jotform.com/230868100371147,TRUE,N
37003 ,Alexander County,"Alexander County Department of Social Services
Food and Nutrition Services
604 7th Street SW
Taylorsville, NC 28681",,828-632-1080,828-632-1092,,https://dss.alexandercountync.gov/,,TRUE,N
37005 ,Alleghany County,"Alleghany County Department of Social Services
Food and Nutrition Services
P.O. Box 247
Sparta NC 28675","182 Doctors St.
Sparta, NC 28675",336-372-2415,336-372-1412,,https://alleghanycounty-nc.gov/index.php/social-services/,,TRUE,N
37007 ,Anson County,"Anson County Department of Social Services
Food and Nutrition Services
118 North Washington Street
Wadesboro, NC 28170",,704-694-9351,704-695-1608,,https://www.co.anson.nc.us/182/Social-Services,,TRUE,N
37009 ,Ashe County,"Ashe County Department of Social Services
Food and Nutrition Services
150 Government Circle, Suite 1400
Jefferson, NC 28640",,336-846-5719,336-846-5779,dssinfo@ashecountygov.com,https://ashedss.org/food-%26-nutrition,dssinfo@ashecountygov.com,TRUE,N
37011 ,Avery County,"Avery County Department of Social Services
Food and Nutrition Services
358 Beech St.
Newland, NC 28657",,828-733-8230,828-733-8245,avery.dss@averycountync.gov,https://www.averycountync.gov/departments/DSS.php,tasha.smith@averycountync.gov,TRUE,N
37013 ,Beaufort County,"Beaufort County Department of Social Services
Food and Nutrition Services
P.O. Box 1358
Washington, NC 27889","632 W 5th Street
Washington, NC 27889",252-975-5500,252-975-5555,beaufort.county.dss@beaufortdss.com,https://co.beaufort.nc.us/256/Department-of-Social-Services-DSS,,TRUE,N
37015 ,Bertie County,"Bertie County Department of Social Services
Food and Nutrition Services
PO Box 627
Windsor, NC 27983","110 Jasper Bazemore Ave
Windsor, NC 27983",252-794-5320,252-794-5344,,http://www.co.bertie.nc.us/departments/dss/dss.html,,TRUE,N
37017 ,Bladen County,"Bladen County Department of Social Services
Food and Nutrition Services
P.O. Box 369
Elizabethtown, NC 28337","208 McKay St.
Elizabethtown, NC 28337",910-862-6800,910-862-6801,,https://bladennc.govoffice3.com/?SEC=B5244DDC-3A3A-482F-B577-8234E7098E1F,,TRUE,N
37019 ,Brunswick County,"Brunswick County Department of Social Services
Food and Nutrition Services
60 Government Drive, NE
Bolivia, NC 28422",,910-253-2077,910-253-2071,,https://www.brunswickcountync.gov/335/Food-Nutrition-Assistance,,TRUE,N
37021 ,Buncombe County,"Buncombe County Department of Social Services
Food and Nutrition Services
P.O. Box 7408
Asheville, NC 28802","40 Coxe Avenue
Asheville, NC 28802",828-250-5500,828-250-6235,,https://www.buncombenc.gov/399/Food-Assistance,,TRUE,N
37023 ,Burke County,"Burke County Department of Social Services
Food and Nutrition Services
P.O. Box 549
Morganton, NC 28680","700 East Parker Road
Morganton, NC 28680",828-764-9600,828-764-9793,BurkeCountyDSSVerification@burkenc.org,https://burkenc.org/1217/Social-Services,BurkeCountyDSSVerification@burkenc.org,TRUE,N
37025 ,Cabarrus County,"Cabarrus County Department of Social Services
Food and Nutrition Services
1303 S. Cannon Blvd.
Kannapolis, NC",,"704-920-1400, opt. 3",704-920-1401,,https://www.cabarruscounty.us/Government/Departments/Consolidated-Human-Services-Agency/Social-Services/Economic-Services/Food-and-Nutrition-Services/Food-and-Nutrition-Assistance,,TRUE,N
37027 ,Caldwell County,"Caldwell County Department of Social Services
Food and Nutrition Services
P.O. Box 200
Lenoir, NC 28645","2345 Morganton Blvd SW, Suite A
Lenoir, NC 28645",828-426-8200,828-426-8398,kmunday@caldwellcountync.org,https://caldwellcountync.org/292/Social-Services,,TRUE,N
37029 ,Camden County,"Camden County Department of Social Services
Food and Nutrition Services
P.O. Box 70
Camden, NC  27921","117 NC Hwy 343 North
Camden, NC 27921",252-331-4787,252-335-1009,socialservices@camdencountync.gov,https://www.camdencountync.gov/277/Social-Services,socialservices@camdencountync.gov,TRUE,N
37031 ,Carteret County,"Carteret County Department of Social Services
Food and Nutrition Services
P.O. Box 779
Beaufort, NC 28516",,252-728-3181,252-648-7462,DSSInfo@carteretcountync.gov,https://www.carteretcountync.gov/1027/Food-and-Nutrition-Services,,TRUE,N
37033 ,Caswell County,"Caswell County Department of Social Services
Food and Nutrition Services
P.O. Box 1538
Yanceyville, NC 27379","175 County Park Road
Yanceyville, NC 27379",336-694-4141,336-694-1816,,https://www.caswellcountync.gov/department-directory,,TRUE,N
37035 ,Catawba County,"Catawba County Department of Social Services
Food and Nutrition Services
P.O. Box 669
Newton, NC 28658","3030 11th Ave. Drive, SE.
Hickory, NC 28602",828-695-5600,828-695-5700,,https://catawbacountync.gov/county-services/social-services/family-support-services/food-nutrition-services/,,TRUE,N
37037 ,Chatham County,"Chatham County Department of Social Services
Food and Nutrition Services
P.O. Box 489
Pittsboro, NC 27312","102 Camp Drive
Pittsboro, NC 27312",919-542-2759,919-542-6355,,https://www.chathamcountync.gov/government/departments-programs-i-z/social-services/economic-assistance-programs/food-assistance,https://gisservices.chathamcountync.gov/dssdocuments,TRUE,N
37039 ,Cherokee County,"Cherokee County Department of Social Services
Food and Nutrition Services
4800 W US Highway 64
Murphy, NC 28906",,828-837-7455,828-835-4985,,https://www.cherokeecounty-nc.gov/266/Economic-Services,,TRUE,N
37041 ,Chowan County,"Chowan County Department of Social Services
Food and Nutrition Services
100 W. Freemason Circle
Edenton, NC 27932",,252-482-7441,252-482-7041,chowan.dss@chowan.nc.gov,https://www.chowancounty-nc.gov/social-services,,TRUE,N
37043 ,Clay County,"Clay County Department of Social Services
Food and Nutrition Services
P.O. Box 147
Hayesville, NC 28904","119 Courthouse Drive
Hayesville, NC 28904",828-389-6301,828-389-6427,,https://dss.claync.us/food-and-nutrition,,TRUE,N
37045 ,Cleveland County,"Cleveland County Department of Social Services
Food and Nutrition Services
P.O. Box 9006
Shelby, NC 28151-9006","200 South Post Road
Shelby, NC 28150",980-484-6000,704-368-5751,,https://www.clevelandcounty.com/main/departments/social_services/index.php,,TRUE,N
37047 ,Columbus County,"Columbus County Department of Social Services
Food and Nutrition Services
P.O. Box 397
Whiteville, NC 28472","40 Government Complex Road
Whiteville, NC 28472",910-642-2800,910-641-3970,,https://www.columbusco.org/department-social-services,,TRUE,N
